RESPUESTA_FECHA,RESPUESTA_TEXTO,PERIODO,RESPUESTA_ID,RESPUESTA_DECIMAL,FORMULARIO_ID,ANO_APLICACION,PREGUNTA_ID,ESTADO_REGISTRO,SEC_EJEC,RESPUESTA_ENTERO
 ,N,1,32,0,1,2022,38,A,301295,0
 ,S,1,33,0,1,2022,39,A,301295,0
 ,S,1,34,0,1,2022,40,A,301295,0
 ,S,1,35,0,1,2022,41,A,301295,0
 ,N,1,36,0,1,2022,42,A,301295,0
 ,S,1,37,0,1,2022,43,A,301295,0
 ,S,1,38,0,1,2022,44,A,301295,0
 ,49,1,39,0,1,2022,46,A,301295,0
 ,49,1,40,0,1,2022,47,A,301295,0
 ,49,1,41,0,1,2022,48,A,301295,0
 ,49,1,42,0,1,2022,49,A,301295,0
 ,49,1,43,0,1,2022,50,A,301295,0
 ,49,1,44,0,1,2022,51,A,301295,0
 ,N,1,45,0,1,2022,52,A,301295,0
 ,0,1,46,0,1,2022,53,A,301295,0
 ,0,1,47,0,1,2022,54,A,301295,0
 ,0,1,48,0,1,2022,58,A,301295,0
 ,0,1,49,0,1,2022,59,A,301295,0
 ,0,1,50,0,2,2022,60,A,301295,89
 ,0,1,51,0,2,2022,61,A,301295,6
 ,S,1,52,0,2,2022,62,A,301295,0
 ,N,1,53,0,2,2022,63,A,301295,0
 ,0,1,54,0,2,2022,64,A,301295,0
 ,0,1,55,0,2,2022,91,A,301295,4989
 ,0,1,56,0,2,2022,65,A,301295,0
 ,0,1,57,0,2,2022,66,A,301295,0
 ,0,1,58,0,2,2022,68,A,301295,0
 ,0,1,59,0,2,2022,69,A,301295,0
 ,S,1,60,0,3,2022,70,A,301295,0
15/01/2022 00:00:00,0,1,61,0,3,2022,71,A,301295,0
31/05/2022 00:00:00,0,1,62,0,3,2022,72,A,301295,0
 ,S,1,63,0,3,2022,73,A,301295,0
 ,N,1,64,0,3,2022,74,A,301295,0
 ,0,1,65,0,3,2022,75,A,301295,0
 ,0,1,66,0,3,2022,76,A,301295,0
 ,0,1,67,0,3,2022,77,A,301295,0
 ,0,1,68,0,4,2022,78,A,301295,0
 ,N,1,69,0,4,2022,79,A,301295,0
 ,S,1,70,0,4,2022,80,A,301295,0
 ,S,1,71,0,5,2022,82,A,301295,0
 ,N,1,72,0,5,2022,83,A,301295,0
 ,N,1,73,0,5,2022,84,A,301295,0
 ,N,1,74,0,5,2022,85,A,301295,0
 ,0,1,75,0,5,2022,86,A,301295,0
 ,N,1,60,0,3,2022,70,A,301755,0
 ,0,1,61,0,3,2022,71,A,301755,0
 ,0,1,62,0,3,2022,72,A,301755,0
 ,0,1,63,0,3,2022,73,A,301755,0
 ,N,1,64,0,3,2022,74,A,301755,0
 ,0,1,65,0,3,2022,75,A,301755,0
 ,0,1,66,0,3,2022,76,A,301755,0
 ,0,1,67,0,3,2022,77,A,301755,0
 ,0,1,68,0,4,2022,78,A,301755,0
 ,N,1,69,0,4,2022,79,A,301755,0
 ,N,1,70,0,4,2022,80,A,301755,0
 ,S,1,71,0,5,2022,82,A,301755,0
 ,N,1,72,0,5,2022,83,A,301755,0
 ,N,1,73,0,5,2022,84,A,301755,0
 ,N,1,74,0,5,2022,85,A,301755,0
 ,0,1,75,0,5,2022,86,A,301755,0
 ,4,1,1,0,1,2022,1,A,300377,0
 ,0,1,2,0,1,2022,9,A,300377,0
 ,sub gerencia de la administracion tributaria y fiscalizacion- Jaqui ,1,3,0,1,2022,10,A,300377,0
 ,0,1,4,0,1,2022,11,A,300377,1
 ,N,1,5,0,1,2022,12,A,300377,0
 ,0,1,6,0,1,2022,13,A,300377,0
 ,0,1,7,0,1,2022,14,A,300377,0
 ,S,1,8,0,1,2022,15,A,300377,0
 ,gerencia de desarrollo urbano y rural ,1,9,0,1,2022,16,A,300377,0
 ,S,1,10,0,1,2022,17,A,300377,0
 ,0,1,11,0,1,2022,18,A,300377,1
 ,N,1,12,0,1,2022,19,A,300377,0
 ,0,1,13,0,1,2022,20,A,300377,0
 ,S,1,14,0,1,2022,21,A,300377,0
 ,N,1,15,0,1,2022,22,A,300377,0
 ,0,1,16,0,1,2022,23,A,300377,0
 ,N,1,17,0,1,2022,24,A,300377,0
 ,0,1,18,0,1,2022,25,A,300377,0
 ,0,1,19,0,1,2022,26,A,300377,0
 ,N,1,20,0,1,2022,27,A,300377,0
 ,0,1,21,0,1,2022,28,A,300377,0
 ,0,1,22,0,1,2022,29,A,300377,0
 ,N,1,23,0,1,2022,87,A,300377,0
 ,0,1,24,0,1,2022,88,A,300377,0
 ,N,1,25,0,1,2022,89,A,300377,0
 ,0,1,26,0,1,2022,90,A,300377,0
 ,N,1,27,0,1,2022,30,A,300377,0
 ,0,1,28,0,1,2022,31,A,300377,0
 ,0,1,29,0,1,2022,35,A,300377,0
 ,0,1,30,0,1,2022,36,A,300377,0
 ,N,1,31,0,1,2022,37,A,300377,0
 ,N,1,32,0,1,2022,38,A,300377,0
 ,N,1,33,0,1,2022,39,A,300377,0
 ,N,1,34,0,1,2022,40,A,300377,0
 ,N,1,35,0,1,2022,41,A,300377,0
 ,N,1,36,0,1,2022,42,A,300377,0
 ,N,1,37,0,1,2022,43,A,300377,0
 ,N,1,38,0,1,2022,44,A,300377,0
 ,47,1,39,0,1,2022,46,A,300377,0
 ,47,1,40,0,1,2022,47,A,300377,0
 ,47,1,41,0,1,2022,48,A,300377,0
 ,47,1,42,0,1,2022,49,A,300377,0
 ,47,1,43,0,1,2022,50,A,300377,0
 ,47,1,44,0,1,2022,51,A,300377,0
 ,N,1,45,0,1,2022,52,A,300377,0
 ,0,1,46,0,1,2022,53,A,300377,0
 ,0,1,47,0,1,2022,54,A,300377,0
 ,0,1,48,0,1,2022,58,A,300377,0
 ,0,1,49,0,1,2022,59,A,300377,0
 ,0,1,50,0,2,2022,60,A,300377,0
 ,0,1,51,0,2,2022,61,A,300377,0
 ,N,1,52,0,2,2022,62,A,300377,0
 ,N,1,53,0,2,2022,63,A,300377,0
 ,0,1,54,0,2,2022,64,A,300377,0
 ,0,1,55,0,2,2022,91,A,300377,0
 ,0,1,56,0,2,2022,65,A,300377,0
 ,0,1,57,0,2,2022,66,A,300377,0
 ,0,1,58,0,2,2022,68,A,300377,0
 ,0,1,59,0,2,2022,69,A,300377,0
 ,N,1,60,0,3,2022,70,A,300377,0
 ,0,1,61,0,3,2022,71,A,300377,0
 ,0,1,62,0,3,2022,72,A,300377,0
 ,0,1,63,0,3,2022,73,A,300377,0
 ,N,1,64,0,3,2022,74,A,300377,0
 ,0,1,65,0,3,2022,75,A,300377,0
 ,0,1,66,0,3,2022,76,A,300377,0
 ,0,1,67,0,3,2022,77,A,300377,0
 ,0,1,68,0,4,2022,78,A,300377,0
 ,N,1,69,0,4,2022,79,A,300377,0
 ,N,1,70,0,4,2022,80,A,300377,0
 ,S,1,71,0,5,2022,82,A,300377,0
 ,N,1,72,0,5,2022,83,A,300377,0
 ,N,1,73,0,5,2022,84,A,300377,0
 ,N,1,74,0,5,2022,85,A,300377,0
 ,0,1,75,0,5,2022,86,A,300377,0
 ,7,1,1,0,1,2022,1,A,300454,0
 ,GERENCIA DESARROLLO ECONOMICO LOCAL ,1,2,0,1,2022,9,A,300454,0
 ,DIVISION DE RENTAS,1,3,0,1,2022,10,A,300454,0
 ,0,1,4,0,1,2022,11,A,300454,4
 ,N,1,5,0,1,2022,12,A,300454,0
 ,0,1,6,0,1,2022,13,A,300454,0
 ,0,1,7,0,1,2022,14,A,300454,0
 ,S,1,8,0,1,2022,15,A,300454,0
 ,DIVISION DE CATASTRO URBANO Y RURAL,1,9,0,1,2022,16,A,300454,0
 ,S,1,10,0,1,2022,17,A,300454,0
 ,3,1,1,0,1,2022,1,A,301534,0
 ,0,1,2,0,1,2022,9,A,301534,0
 ,GERENCIA DE ADMINISTRACION TRIBUTARIA Y RENTAS,1,3,0,1,2022,10,A,301534,0
 ,0,1,4,0,1,2022,11,A,301534,6
 ,N,1,5,0,1,2022,12,A,301534,0
 ,0,1,6,0,1,2022,13,A,301534,0
 ,0,1,7,0,1,2022,14,A,301534,0
 ,S,1,8,0,1,2022,15,A,301534,0
 ,SUBGERENCIA DE PLANEAMIENTO URBANO RURAL Y CATASTRO,1,9,0,1,2022,16,A,301534,0
 ,S,1,10,0,1,2022,17,A,301534,0
 ,0,1,11,0,1,2022,18,A,301534,3
 ,N,1,12,0,1,2022,19,A,301534,0
 ,0,1,13,0,1,2022,20,A,301534,0
 ,S,1,14,0,1,2022,21,A,301534,0
 ,N,1,15,0,1,2022,22,A,301534,0
 ,0,1,16,0,1,2022,23,A,301534,0
 ,N,1,17,0,1,2022,24,A,301534,0
 ,0,1,18,0,1,2022,25,A,301534,0
 ,0,1,19,0,1,2022,26,A,301534,0
 ,N,1,20,0,1,2022,27,A,301534,0
 ,0,1,21,0,1,2022,28,A,301534,0
 ,0,1,22,0,1,2022,29,A,301534,0
 ,N,1,23,0,1,2022,87,A,301534,0
 ,0,1,24,0,1,2022,88,A,301534,0
 ,N,1,25,0,1,2022,89,A,301534,0
 ,0,1,26,0,1,2022,90,A,301534,0
 ,N,1,27,0,1,2022,30,A,301534,0
 ,0,1,28,0,1,2022,31,A,301534,0
 ,0,1,29,0,1,2022,35,A,301534,0
 ,0,1,30,0,1,2022,36,A,301534,0
 ,S,1,31,0,1,2022,37,A,301534,0
 ,N,1,32,0,1,2022,38,A,301534,0
 ,N,1,33,0,1,2022,39,A,301534,0
 ,N,1,34,0,1,2022,40,A,301534,0
 ,N,1,35,0,1,2022,41,A,301534,0
 ,N,1,36,0,1,2022,42,A,301534,0
 ,N,1,37,0,1,2022,43,A,301534,0
 ,N,1,38,0,1,2022,44,A,301534,0
 ,47,1,39,0,1,2022,46,A,301534,0
 ,47,1,40,0,1,2022,47,A,301534,0
 ,47,1,41,0,1,2022,48,A,301534,0
 ,47,1,42,0,1,2022,49,A,301534,0
 ,47,1,43,0,1,2022,50,A,301534,0
 ,47,1,44,0,1,2022,51,A,301534,0
 ,S,1,45,0,1,2022,52,A,301534,0
31/05/2022 00:00:00,0,1,46,0,1,2022,53,A,301534,0
 ,57,1,47,0,1,2022,54,A,301534,0
 ,001,1,48,0,1,2022,58,A,301534,0
1/03/2022 00:00:00,0,1,49,0,1,2022,59,A,301534,0
 ,0,1,50,0,2,2022,60,A,301534,0
 ,0,1,51,0,2,2022,61,A,301534,1
 ,N,1,52,0,2,2022,62,A,301534,0
 ,N,1,53,0,2,2022,63,A,301534,0
 ,0,1,54,0,2,2022,64,A,301534,0
 ,0,1,55,0,2,2022,91,A,301534,0
 ,0,1,56,0,2,2022,65,A,301534,0
 ,0,1,57,0,2,2022,66,A,301534,0
 ,0,1,58,0,2,2022,68,A,301534,0
 ,0,1,59,0,2,2022,69,A,301534,0
 ,S,1,60,0,3,2022,70,A,301534,0
15/02/2022 00:00:00,0,1,61,0,3,2022,71,A,301534,0
31/05/2022 00:00:00,0,1,62,0,3,2022,72,A,301534,0
 ,S,1,63,0,3,2022,73,A,301534,0
 ,N,1,64,0,3,2022,74,A,301534,0
 ,0,1,65,0,3,2022,75,A,301534,0
 ,0,1,66,0,3,2022,76,A,301534,0
 ,0,1,67,0,3,2022,77,A,301534,0
 ,0,1,68,0,4,2022,78,A,301534,0
 ,N,1,69,0,4,2022,79,A,301534,0
 ,S,1,70,0,4,2022,80,A,301534,0
 ,S,1,71,0,5,2022,82,A,301534,0
 ,S,1,72,0,5,2022,83,A,301534,0
 ,N,1,73,0,5,2022,84,A,301534,0
 ,N,1,74,0,5,2022,85,A,301534,0
 ,0,1,75,0,5,2022,86,A,301534,0
 ,6,1,1,0,1,2022,1,I,300310,0
 ,0,1,2,0,1,2022,9,I,300310,0
 ,OFICINA DE RENTAS,1,3,0,1,2022,10,I,300310,0
 ,0,1,4,0,1,2022,11,I,300310,2
 ,N,1,5,0,1,2022,12,I,300310,0
 ,0,1,6,0,1,2022,13,I,300310,0
 ,0,1,7,0,1,2022,14,I,300310,0
 ,S,1,8,0,1,2022,15,I,300310,0
 ,UNIDAD DE CATASTRO URBANO RURAL,1,9,0,1,2022,16,I,300310,0
 ,S,1,10,0,1,2022,17,I,300310,0
 ,0,1,11,0,1,2022,18,I,300310,1
 ,N,1,12,0,1,2022,19,I,300310,0
 ,0,1,13,0,1,2022,20,I,300310,0
 ,S,1,14,0,1,2022,21,I,300310,0
 ,N,1,15,0,1,2022,22,I,300310,0
 ,0,1,16,0,1,2022,23,I,300310,0
 ,N,1,17,0,1,2022,24,I,300310,0
 ,0,1,18,0,1,2022,25,I,300310,0
 ,0,1,19,100,1,2022,26,I,300310,0
 ,N,1,20,0,1,2022,27,I,300310,0
 ,0,1,21,0,1,2022,28,I,300310,0
 ,0,1,22,100,1,2022,29,I,300310,0
 ,N,1,23,0,1,2022,87,I,300310,0
 ,0,1,24,0,1,2022,88,I,300310,0
 ,N,1,25,0,1,2022,89,I,300310,0
 ,0,1,26,0,1,2022,90,I,300310,0
 ,N,1,27,0,1,2022,30,I,300310,0
 ,0,1,28,0,1,2022,31,I,300310,0
 ,0,1,29,0,1,2022,35,I,300310,0
 ,0,1,30,0,1,2022,36,I,300310,0
 ,S,1,31,0,1,2022,37,I,300310,0
 ,S,1,32,0,1,2022,38,I,300310,0
 ,S,1,33,0,1,2022,39,I,300310,0
 ,S,1,34,0,1,2022,40,I,300310,0
 ,S,1,35,0,1,2022,41,I,300310,0
 ,N,1,36,0,1,2022,42,I,300310,0
 ,N,1,37,0,1,2022,43,I,300310,0
 ,N,1,38,0,1,2022,44,I,300310,0
 ,50,1,39,0,1,2022,46,I,300310,0
 ,50,1,40,0,1,2022,47,I,300310,0
 ,50,1,41,0,1,2022,48,I,300310,0
 ,50,1,42,0,1,2022,49,I,300310,0
 ,50,1,43,0,1,2022,50,I,300310,0
 ,50,1,44,0,1,2022,51,I,300310,0
 ,N,1,45,0,1,2022,52,I,300310,0
 ,0,1,46,0,1,2022,53,I,300310,0
 ,0,1,47,0,1,2022,54,I,300310,0
 ,0,1,48,0,1,2022,58,I,300310,0
 ,0,1,49,0,1,2022,59,I,300310,0
 ,0,1,50,0,2,2022,60,I,300310,20
 ,0,1,51,0,2,2022,61,I,300310,10
 ,S,1,52,0,2,2022,62,I,300310,0
 ,N,1,53,0,2,2022,63,I,300310,0
 ,0,1,54,0,2,2022,64,I,300310,0
 ,0,1,55,0,2,2022,91,I,300310,100
 ,0,1,56,100,2,2022,65,I,300310,0
 ,0,1,57,0,2,2022,66,I,300310,500
 ,0,1,58,10,2,2022,68,I,300310,0
 ,0,1,59,50,2,2022,69,I,300310,0
 ,S,1,60,0,3,2022,70,I,300310,0
1/02/2022 00:00:00,0,1,61,0,3,2022,71,I,300310,0
31/03/2022 00:00:00,0,1,62,0,3,2022,72,I,300310,0
 ,S,1,63,0,3,2022,73,I,300310,0
 ,N,1,64,0,3,2022,74,I,300310,0
 ,0,1,65,0,3,2022,75,I,300310,0
 ,0,1,66,0,3,2022,76,I,300310,0
 ,0,1,67,0,3,2022,77,I,300310,0
 ,0,1,68,0,4,2022,78,I,300310,0
 ,S,1,69,0,4,2022,79,I,300310,0
 ,S,1,70,0,4,2022,80,I,300310,0
 ,S,1,71,0,5,2022,82,I,300310,0
 ,N,1,72,0,5,2022,83,I,300310,0
 ,N,1,73,0,5,2022,84,I,300310,0
 ,N,1,74,0,5,2022,85,I,300310,0
 ,0,1,75,0,5,2022,86,I,300310,0
 ,3,1,1,0,1,2022,1,A,301161,0
 ,0,1,2,0,1,2022,9,A,301161,0
 ,GERENCIA DE ADMINISTRACIÓN TRIBUTARIA,1,3,0,1,2022,10,A,301161,0
 ,0,1,4,0,1,2022,11,A,301161,11
 ,N,1,5,0,1,2022,12,A,301161,0
 ,0,1,6,0,1,2022,13,A,301161,0
 ,0,1,7,0,1,2022,14,A,301161,0
 ,S,1,8,0,1,2022,15,A,301161,0
 ,SUBGERENCIA DE CATASTRO Y ACONDICIONAMIENTO TERRITORIAL,1,9,0,1,2022,16,A,301161,0
 ,N,1,10,0,1,2022,17,A,301161,0
 ,0,1,11,0,1,2022,18,A,301161,2
 ,N,1,12,0,1,2022,19,A,301161,0
 ,0,1,13,0,1,2022,20,A,301161,0
 ,N,1,14,0,1,2022,21,A,301161,0
 ,N,1,15,0,1,2022,22,A,301161,0
 ,0,1,16,0,1,2022,23,A,301161,0
 ,N,1,17,0,1,2022,24,A,301161,0
 ,0,1,18,0,1,2022,25,A,301161,0
 ,0,1,19,0,1,2022,26,A,301161,0
 ,N,1,20,0,1,2022,27,A,301161,0
 ,0,1,21,0,1,2022,28,A,301161,0
 ,0,1,22,0,1,2022,29,A,301161,0
 ,N,1,23,0,1,2022,87,A,301161,0
 ,0,1,24,0,1,2022,88,A,301161,0
 ,N,1,25,0,1,2022,89,A,301161,0
 ,0,1,26,0,1,2022,90,A,301161,0
 ,N,1,27,0,1,2022,30,A,301161,0
 ,0,1,28,0,1,2022,31,A,301161,0
 ,0,1,29,0,1,2022,35,A,301161,0
 ,0,1,30,0,1,2022,36,A,301161,0
 ,N,1,31,0,1,2022,37,A,301161,0
 ,N,1,32,0,1,2022,38,A,301161,0
 ,S,1,33,0,1,2022,39,A,301161,0
 ,S,1,34,0,1,2022,40,A,301161,0
 ,S,1,35,0,1,2022,41,A,301161,0
 ,S,1,36,0,1,2022,42,A,301161,0
 ,N,1,37,0,1,2022,43,A,301161,0
 ,N,1,38,0,1,2022,44,A,301161,0
 ,50,1,39,0,1,2022,46,A,301161,0
 ,50,1,40,0,1,2022,47,A,301161,0
 ,50,1,41,0,1,2022,48,A,301161,0
 ,50,1,42,0,1,2022,49,A,301161,0
 ,50,1,43,0,1,2022,50,A,301161,0
 ,50,1,44,0,1,2022,51,A,301161,0
 ,S,1,45,0,1,2022,52,A,301161,0
31/03/2022 00:00:00,0,1,46,0,1,2022,53,A,301161,0
 ,55,1,47,0,1,2022,54,A,301161,0
 ,001-2020-MPO,1,48,0,1,2022,58,A,301161,0
20/01/2022 00:00:00,0,1,49,0,1,2022,59,A,301161,0
 ,0,1,50,0,2,2022,60,A,301161,196
 ,0,1,51,0,2,2022,61,A,301161,44
 ,S,1,52,0,2,2022,62,A,301161,0
 ,N,1,53,0,2,2022,63,A,301161,0
 ,0,1,54,0,2,2022,64,A,301161,0
 ,0,1,55,0,2,2022,91,A,301161,5738
 ,0,1,56,0,2,2022,65,A,301161,0
 ,0,1,57,0,2,2022,66,A,301161,0
 ,0,1,58,0,2,2022,68,A,301161,0
 ,0,1,59,0,2,2022,69,A,301161,0
 ,N,1,60,0,3,2022,70,A,301161,0
 ,0,1,61,0,3,2022,71,A,301161,0
 ,0,1,62,0,3,2022,72,A,301161,0
 ,0,1,63,0,3,2022,73,A,301161,0
 ,N,1,64,0,3,2022,74,A,301161,0
 ,0,1,65,0,3,2022,75,A,301161,0
 ,0,1,66,0,3,2022,76,A,301161,0
 ,0,1,67,0,3,2022,77,A,301161,0
 ,0,1,68,0,4,2022,78,A,301161,0
 ,N,1,69,0,4,2022,79,A,301161,0
 ,S,1,70,0,4,2022,80,A,301161,0
 ,S,1,71,0,5,2022,82,A,301161,0
 ,N,1,72,0,5,2022,83,A,301161,0
 ,N,1,73,0,5,2022,84,A,301161,0
 ,N,1,74,0,5,2022,85,A,301161,0
 ,0,1,75,0,5,2022,86,A,301161,0
 ,6,1,1,0,1,2022,1,A,301755,0
 ,0,1,2,0,1,2022,9,A,301755,0
 ,OFICINA DE RENTAS Y FISCALIZACION,1,3,0,1,2022,10,A,301755,0
 ,0,1,4,0,1,2022,11,A,301755,1
 ,N,1,5,0,1,2022,12,A,301755,0
 ,0,1,6,0,1,2022,13,A,301755,0
 ,0,1,7,0,1,2022,14,A,301755,0
 ,S,1,8,0,1,2022,15,A,301755,0
 ,"UNIDAD DE DESARROLLO URBANO, CATASTRO",1,9,0,1,2022,16,A,301755,0
 ,S,1,10,0,1,2022,17,A,301755,0
 ,0,1,11,0,1,2022,18,A,301755,1
 ,N,1,12,0,1,2022,19,A,301755,0
 ,0,1,13,0,1,2022,20,A,301755,0
 ,S,1,14,0,1,2022,21,A,301755,0
 ,N,1,15,0,1,2022,22,A,301755,0
 ,0,1,16,0,1,2022,23,A,301755,0
 ,N,1,17,0,1,2022,24,A,301755,0
 ,0,1,18,0,1,2022,25,A,301755,0
 ,3,1,1,0,1,2022,1,A,301020,0
 ,0,1,2,0,1,2022,9,A,301020,0
 ,Gerencia de Administración Tributaria,1,3,0,1,2022,10,A,301020,0
 ,0,1,4,0,1,2022,11,A,301020,4
 ,S,1,5,0,1,2022,12,A,301020,0
 ,S,1,6,0,1,2022,13,A,301020,0
 ,0,1,7,0,1,2022,14,A,301020,1
 ,S,1,8,0,1,2022,15,A,301020,0
 ,Sub Gerencia de Catastro Urbano y Rural,1,9,0,1,2022,16,A,301020,0
 ,S,1,10,0,1,2022,17,A,301020,0
 ,0,1,11,0,1,2022,18,A,301020,4
 ,N,1,12,0,1,2022,19,A,301020,0
 ,0,1,13,0,1,2022,20,A,301020,0
 ,N,1,14,0,1,2022,21,A,301020,0
 ,N,1,15,0,1,2022,22,A,301020,0
 ,0,1,16,0,1,2022,23,A,301020,0
 ,N,1,17,0,1,2022,24,A,301020,0
 ,0,1,18,0,1,2022,25,A,301020,0
 ,0,1,19,0,1,2022,26,A,301020,0
 ,N,1,20,0,1,2022,27,A,301020,0
 ,0,1,21,0,1,2022,28,A,301020,0
 ,0,1,22,0,1,2022,29,A,301020,0
 ,N,1,23,0,1,2022,87,A,301020,0
 ,0,1,24,0,1,2022,88,A,301020,0
 ,N,1,25,0,1,2022,89,A,301020,0
 ,0,1,26,0,1,2022,90,A,301020,0
 ,N,1,27,0,1,2022,30,A,301020,0
 ,0,1,28,0,1,2022,31,A,301020,0
 ,0,1,29,0,1,2022,35,A,301020,0
 ,0,1,30,0,1,2022,36,A,301020,0
 ,S,1,31,0,1,2022,37,A,301020,0
 ,N,1,32,0,1,2022,38,A,301020,0
 ,S,1,33,0,1,2022,39,A,301020,0
